Local Date,Local Time,Close,Low,High,Volume
06-Jun-2022,18:46:00,146.4860,146.4700,146.6400,"132,877"
06-Jun-2022,18:47:00,146.4950,146.4000,146.5200,"114,755"
06-Jun-2022,18:48:00,146.4700,146.4350,146.6269,"128,498"
06-Jun-2022,18:49:00,146.3725,146.3400,146.4800,"141,743"
06-Jun-2022,18:50:00,146.5358,146.3450,146.5500,"109,328"
06-Jun-2022,18:51:00,146.6150,146.4700,146.6900,"136,136"
06-Jun-2022,18:52:00,146.6488,146.4846,146.7400,"136,023"
06-Jun-2022,18:53:00,146.6100,146.5301,146.6700,"128,979"
06-Jun-2022,18:54:00,146.5700,146.5000,146.6488,"94,514"
06-Jun-2022,18:55:00,146.5279,146.5150,146.6007,"56,217"
06-Jun-2022,18:56:00,146.5846,146.5200,146.6500,"94,295"
06-Jun-2022,18:57:00,146.6100,146.5300,146.6499,"120,180"
06-Jun-2022,18:58:00,146.5700,146.5250,146.6400,"71,577"
06-Jun-2022,18:59:00,146.6300,146.5589,146.6400,"76,959"
06-Jun-2022,19:00:00,146.6487,146.5958,146.6900,"80,466"
06-Jun-2022,19:01:00,146.5680,146.5300,146.6900,"135,528"
06-Jun-2022,19:02:00,146.6400,146.5650,146.6621,"84,792"
06-Jun-2022,19:03:00,146.7200,146.6200,146.7641,"116,009"
06-Jun-2022,19:04:00,146.7061,146.6400,146.7300,"104,519"
06-Jun-2022,19:05:00,146.8500,146.6807,146.8900,"250,653"
06-Jun-2022,19:06:00,146.7700,146.7600,146.8600,"113,407"
06-Jun-2022,19:07:00,146.8050,146.7100,146.8200,"99,015"
06-Jun-2022,19:08:00,146.6193,146.5900,146.8000,"173,338"
06-Jun-2022,19:09:00,146.6261,146.6100,146.7571,"119,219"
06-Jun-2022,19:10:00,146.7200,146.5800,146.7900,"119,139"
06-Jun-2022,19:11:00,146.7100,146.6600,146.7800,"97,833"
06-Jun-2022,19:12:00,146.6638,146.6200,146.7127,"78,457"
06-Jun-2022,19:13:00,146.6000,146.5900,146.6952,"72,674"
06-Jun-2022,19:14:00,146.6250,146.5300,146.6388,"102,723"
06-Jun-2022,19:15:00,146.5799,146.5700,146.6800,"72,412"
06-Jun-2022,19:16:00,146.5800,146.4550,146.6200,"145,510"
06-Jun-2022,19:17:00,146.5139,146.4600,146.5850,"135,665"
06-Jun-2022,19:18:00,146.5388,146.4748,146.6100,"113,075"
06-Jun-2022,19:19:00,146.5200,146.4442,146.5439,"96,780"
06-Jun-2022,19:20:00,146.5416,146.4300,146.5700,"82,612"
06-Jun-2022,19:21:00,146.4100,146.3700,146.5487,"133,031"
06-Jun-2022,19:22:00,146.2300,146.1700,146.4250,"157,097"
06-Jun-2022,19:23:00,146.0600,146.0600,146.3478,"192,344"
06-Jun-2022,19:24:00,145.9600,145.8800,146.2517,"247,730"
06-Jun-2022,19:25:00,145.9950,145.9000,146.1407,"122,421"
06-Jun-2022,19:26:00,145.9095,145.8900,146.0150,"74,665"
06-Jun-2022,19:27:00,145.8495,145.8000,145.9900,"136,284"
06-Jun-2022,19:28:00,145.8199,145.6900,145.8800,"128,101"
06-Jun-2022,19:29:00,145.7400,145.7300,145.8600,"91,392"
06-Jun-2022,19:30:00,145.7776,145.6600,145.8681,"92,806"
06-Jun-2022,19:31:00,145.7950,145.6700,145.8658,"122,280"
06-Jun-2022,19:32:00,145.8534,145.7350,145.8658,"118,244"
06-Jun-2022,19:33:00,145.7684,145.7500,145.8600,"131,410"
